id,stats_data_id,cat01,item_name,item_code,unit,area_type,is_ranking
2409,"0000010113","M1003","1次活動の平均時間（10歳以上）（男）","primary-activity-avg-time-male-10plus","分","prefecture",0
2391,"0000010113","M100110","1次活動の平均時間（15～24歳）（男）","primary-activity-avg-time-male-15-24","分","prefecture",0
2413,"0000010113","M100310","1次活動の平均時間（15～24歳）（男）","primary-activity-avg-time-male-15-24","分","prefecture",0
2388,"0000010113","M100100","1次活動の平均時間（15歳以上）（男）","primary-activity-avg-time-male-15plus","分","prefecture",0
2410,"0000010113","M100300","1次活動の平均時間（15歳以上）（男）","primary-activity-avg-time-male-15plus","分","prefecture",0
2392,"0000010113","M100120","1次活動の平均時間（25～34歳）（男）","primary-activity-avg-time-male-25-34","分","prefecture",0
2414,"0000010113","M100320","1次活動の平均時間（25～34歳）（男）","primary-activity-avg-time-male-25-34","分","prefecture",0
2393,"0000010113","M100130","1次活動の平均時間（35～44歳）（男）","primary-activity-avg-time-male-35-44","分","prefecture",0
2415,"0000010113","M100330","1次活動の平均時間（35～44歳）（男）","primary-activity-avg-time-male-35-44","分","prefecture",0
2394,"0000010113","M100140","1次活動の平均時間（45～54歳）（男）","primary-activity-avg-time-male-45-54","分","prefecture",0
2416,"0000010113","M100340","1次活動の平均時間（45～54歳）（男）","primary-activity-avg-time-male-45-54","分","prefecture",0
2395,"0000010113","M100150","1次活動の平均時間（55～64歳）（男）","primary-activity-avg-time-male-55-64","分","prefecture",0
2417,"0000010113","M100350","1次活動の平均時間（55～64歳）（男）","primary-activity-avg-time-male-55-64","分","prefecture",0
2396,"0000010113","M100160","1次活動の平均時間（65～74歳）（男）","primary-activity-avg-time-male-65-74","分","prefecture",0
2418,"0000010113","M100360","1次活動の平均時間（65～74歳）（男）","primary-activity-avg-time-male-65-74","分","prefecture",0
2397,"0000010113","M100170","1次活動の平均時間（75歳以上）（男）","primary-activity-avg-time-male-75plus","分","prefecture",0
2419,"0000010113","M100370","1次活動の平均時間（75歳以上）（男）","primary-activity-avg-time-male-75plus","分","prefecture",0
2401,"0000010113","M100202","1次活動の平均時間（無業者）（女）","primary-activity-avg-time-unemployed-female","分","prefecture",0
2423,"0000010113","M100402","1次活動の平均時間（無業者）（女）","primary-activity-avg-time-unemployed-female","分","prefecture",0
2390,"0000010113","M100102","1次活動の平均時間（無業者）（男）","primary-activity-avg-time-unemployed-male","分","prefecture",0
2412,"0000010113","M100302","1次活動の平均時間（無業者）（男）","primary-activity-avg-time-unemployed-male","分","prefecture",0
618,"0000010111","K330501","任意自動車保険普及率（車両）","private-auto-insurance-penetration-rate-vehicle","％","prefecture",0
154,"0000010211","#K10501","任意自動車保険普及率（車両）","private-auto-insurance-penetration-rate-vehicle","％","prefecture",0
3465,"0000010101","A1305","15～64歳人口割合","production-age-population-ratio","％","prefecture",0
508,"0000010201","#A03502","15～64歳人口割合","production-age-population-ratio","％","prefecture",0
1222,"0000010104","D2102","実質収支比率（都道府県財政）","real-balance-ratio","％","prefecture",0
2,"0000010204","#D01102","実質収支比率（都道府県財政）","real-balance-ratio","％","prefecture",0
2042,"0000010106","F620216","きまって支給する現金給与額（女）","regular-cash-salary-female","千円","prefecture",0
311,"0000010206","#F0620104","きまって支給する現金給与月額（女）","regular-cash-salary-female","千円","prefecture",0
2041,"0000010106","F620215","きまって支給する現金給与額（男）","regular-cash-salary-male","千円","prefecture",0
310,"0000010206","#F0620103","きまって支給する現金給与月額（男）","regular-cash-salary-male","千円","prefecture",0
2468,"0000010113","M200201","2次活動の平均時間（有業者）（女）","secondary-activity-avg-time-employed-female","分","prefecture",0
222,"0000010213","#M0120206","2次活動の平均時間（有業者・女）","secondary-activity-avg-time-employed-female","分","prefecture",0
2457,"0000010113","M200101","2次活動の平均時間（有業者）（男）","secondary-activity-avg-time-employed-male","分","prefecture",0
220,"0000010213","#M0120106","2次活動の平均時間（有業者・男）","secondary-activity-avg-time-employed-male","分","prefecture",0
2469,"0000010113","M200202","2次活動の平均時間（無業者）（女）","secondary-activity-avg-time-unemployed-female","分","prefecture",0
223,"0000010213","#M0120207","2次活動の平均時間（無業者・女）","secondary-activity-avg-time-unemployed-female","分","prefecture",0
2458,"0000010113","M200102","2次活動の平均時間（無業者）（男）","secondary-activity-avg-time-unemployed-male","分","prefecture",0
221,"0000010213","#M0120107","2次活動の平均時間（無業者・男）","secondary-activity-avg-time-unemployed-male","分","prefecture",0
2237,"0000010112","L430104","有価証券（二人以上の世帯）","securities-multi-person-households","千円","prefecture",0
2370,"0000010112","L730104","有価証券（二人以上の世帯）","securities-multi-person-households","千円","prefecture",0
2241,"0000010112","L430204","有価証券（二人以上の世帯のうち勤労者世帯）","securities-worker-households","千円","prefecture",0
2374,"0000010112","L730204","有価証券（二人以上の世帯のうち勤労者世帯）","securities-worker-households","千円","prefecture",0
3739,"0000010101","A192002","人口性比（総数）","sex-ratio-total","‐","prefecture",0
499,"0000010201","#A02101","人口性比（総数）","sex-ratio-total","‐","prefecture",0
3880,"0000010101","A5301","社会増減率","social-increase-rate","‰","prefecture",0
547,"0000010201","#A05306","社会増減率","social-increase-rate","‰","prefecture",0
2134,"0000010112","L3111012","世帯主の配偶者の収入（二人以上の世帯のうち勤労者世帯）","spouse-income-worker-households","円","prefecture",0
2336,"0000010112","L7111012","世帯主の配偶者の収入（二人以上の世帯のうち勤労者世帯）","spouse-income-worker-households","円","prefecture",0
2542,"0000010113","M300201","3次活動の平均時間（有業者）（女）","tertiary-activity-avg-time-employed-female","分","prefecture",0
226,"0000010213","#M0130206","3次活動の平均時間（有業者・女）","tertiary-activity-avg-time-employed-female","分","prefecture",0
2531,"0000010113","M300101","3次活動の平均時間（有業者）（男）","tertiary-activity-avg-time-employed-male","分","prefecture",0
224,"0000010213","#M0130106","3次活動の平均時間（有業者・男）","tertiary-activity-avg-time-employed-male","分","prefecture",0
2543,"0000010113","M300202","3次活動の平均時間（無業者）（女）","tertiary-activity-avg-time-unemployed-female","分","prefecture",0
227,"0000010213","#M0130207","3次活動の平均時間（無業者・女）","tertiary-activity-avg-time-unemployed-female","分","prefecture",0
2532,"0000010113","M300102","3次活動の平均時間（無業者）（男）","tertiary-activity-avg-time-unemployed-male","分","prefecture",0
