page,clicks,impressions,ctr,position
https://stats47.jp/ranking/tofu-consumption-expenditure,1,45,0.0222,6.78
https://stats47.jp/ranking/tofu-consumption-quantity,1,33,0.0303,7.42
https://stats47.jp/ranking/towel-consumption-expenditure,1,2,0.5000,3.00
https://stats47.jp/ranking/train-fare-consumption-expenditure,1,5,0.2000,6.00
https://stats47.jp/ranking/treatment-rate-hypertension-outpatient,1,1,1.0000,4.00
https://stats47.jp/ranking/treatment-rate-schizophrenia-inpatient,1,14,0.0714,5.07
https://stats47.jp/ranking/tuna-consumption-expenditure,1,15,0.0667,8.53
https://stats47.jp/ranking/university-graduates-job-ratio,1,4,0.2500,5.00
https://stats47.jp/ranking/western-food-dining-consumption-expenditure,1,4,0.2500,6.50
https://stats47.jp/ranking/whisky-consumption-quantity,1,51,0.0196,8.65
https://stats47.jp/ranking/white-bread-consumption-expenditure,1,1,1.0000,15.00
https://stats47.jp/ranking/womens-sweater-consumption-quantity,1,1,1.0000,1.00
https://stats47.jp/ranking/wooden-housing-ratio,1,7,0.1429,7.29
https://stats47.jp/ranking/yellowtail-consumption-expenditure,1,15,0.0667,5.73
https://stats47.jp/safetyenvironment/traffic-accidents/dashboard/37000,1,1,1.0000,8.00
https://stats47.jp/terms,1,7,0.1429,4.57
https://stats47.jp/administrativefinancial,0,1,0.0000,4.00
https://stats47.jp/administrativefinancial/revenue/dashboard/26000,0,1,0.0000,2.00
https://stats47.jp/administrativefinancial/tax-revenue/dashboard/39000,0,5,0.0000,12.60
https://stats47.jp/agriculture/agricultural-production/dashboard,0,1,0.0000,10.00
https://stats47.jp/agriculture/agricultural-production/dashboard/02000,0,1,0.0000,31.00
https://stats47.jp/agriculture/agricultural-production/dashboard/04000,0,1,0.0000,11.00
https://stats47.jp/agriculture/agricultural-production/dashboard/05000,0,1,0.0000,10.00
https://stats47.jp/agriculture/agricultural-production/dashboard/27000,0,4,0.0000,5.75
https://stats47.jp/agriculture/agricultural-production/dashboard/29000,0,7,0.0000,9.43
https://stats47.jp/agriculture/fishery/dashboard/45000,0,1,0.0000,10.00
https://stats47.jp/areas,0,29,0.0000,24.45
https://stats47.jp/areas/01000/cities/01560,0,1,0.0000,11.00
https://stats47.jp/areas/02000/agriculture,0,6,0.0000,21.67
https://stats47.jp/areas/02000/cities/02307,0,1,0.0000,7.00
https://stats47.jp/areas/02000/cities/02367,0,1,0.0000,6.00
https://stats47.jp/areas/03000,0,2,0.0000,7.50
https://stats47.jp/areas/03000/miningindustry,0,4,0.0000,8.25
https://stats47.jp/areas/04000/cities/04100,0,1,0.0000,6.00
https://stats47.jp/areas/04000/cities/04202,0,1,0.0000,57.00
https://stats47.jp/areas/04000/cities/04205,0,1,0.0000,24.00
https://stats47.jp/areas/04000/cities/04302,0,1,0.0000,45.00
https://stats47.jp/areas/04000/cities/04324,0,1,0.0000,37.00
https://stats47.jp/areas/04000/economy,0,1,0.0000,10.00
https://stats47.jp/areas/06000/cities/06201,0,3,0.0000,79.33
https://stats47.jp/areas/06000/cities/06211,0,7,0.0000,8.29
https://stats47.jp/areas/06000/population,0,14,0.0000,27.86
https://stats47.jp/areas/07000/07211,0,3,0.0000,70.67
https://stats47.jp/areas/07000/cities/07201,0,1,0.0000,9.00
https://stats47.jp/areas/07000/cities/07204,0,1,0.0000,9.00
https://stats47.jp/areas/07000/cities/07205,0,5,0.0000,18.80
https://stats47.jp/areas/07000/cities/07207,0,9,0.0000,17.22
https://stats47.jp/areas/08000,0,4,0.0000,7.75
https://stats47.jp/areas/09000,0,3,0.0000,7.67
https://stats47.jp/areas/09000/cities/09206,0,2,0.0000,9.00
https://stats47.jp/areas/09000/cities/09211,0,4,0.0000,29.25
https://stats47.jp/areas/09000/cities/09361,0,1,0.0000,11.00
https://stats47.jp/areas/09000/socialsecurity,0,1,0.0000,11.00
https://stats47.jp/areas/10000/cities/10201,0,1,0.0000,6.00
https://stats47.jp/areas/10000/cities/10204,0,1,0.0000,4.00
https://stats47.jp/areas/10000/cities/10206,0,1,0.0000,7.00
https://stats47.jp/areas/10000/cities/10367,0,1,0.0000,6.00
https://stats47.jp/areas/10000/cities/10464,0,3,0.0000,9.33
https://stats47.jp/areas/12000,0,1,0.0000,5.00
https://stats47.jp/areas/12000/cities/12232,0,1,0.0000,8.00
https://stats47.jp/areas/12000/population,0,4,0.0000,31.25
https://stats47.jp/areas/13000,0,2,0.0000,4.00
https://stats47.jp/areas/13000/administrativefinancial,0,1,0.0000,5.00
https://stats47.jp/areas/13000/agriculture,0,5,0.0000,5.40
https://stats47.jp/areas/13000/cities/13227,0,4,0.0000,7.50
https://stats47.jp/areas/13000/commercial,0,2,0.0000,7.00
https://stats47.jp/areas/13000/construction,0,4,0.0000,8.00
https://stats47.jp/areas/13000/economy,0,12,0.0000,7.00
https://stats47.jp/areas/13000/miningindustry,0,4,0.0000,5.50
https://stats47.jp/areas/13000/safetyenvironment,0,1,0.0000,5.00
https://stats47.jp/areas/14000,0,1,0.0000,1.00
https://stats47.jp/areas/14000/cities/14207,0,13,0.0000,18.15
https://stats47.jp/areas/14000/cities/14214,0,3,0.0000,28.00
https://stats47.jp/areas/14000/cities/14366,0,1,0.0000,2.00
https://stats47.jp/areas/14000/educationsports,0,15,0.0000,10.33
https://stats47.jp/areas/14000/population,0,5,0.0000,27.00
https://stats47.jp/areas/15000,0,1,0.0000,6.00
https://stats47.jp/areas/15000/administrativefinancial,0,1,0.0000,2.00
https://stats47.jp/areas/15000/cities/15205,0,1,0.0000,7.00
https://stats47.jp/areas/15000/cities/15216,0,2,0.0000,27.00
https://stats47.jp/areas/15000/cities/15224,0,3,0.0000,10.67
https://stats47.jp/areas/15000/cities/15226,0,1,0.0000,4.00
https://stats47.jp/areas/15000/educationsports,0,5,0.0000,10.20
https://stats47.jp/areas/15000/miningindustry,0,5,0.0000,2.20
https://stats47.jp/areas/15000/population,0,7,0.0000,18.00
https://stats47.jp/areas/17000/administrativefinancial,0,6,0.0000,9.50
https://stats47.jp/areas/17000/cities/17201,0,1,0.0000,68.00
https://stats47.jp/areas/17000/cities/17202,0,2,0.0000,20.00
https://stats47.jp/areas/17000/cities/17206,0,4,0.0000,31.00
https://stats47.jp/areas/17000/cities/17210,0,2,0.0000,26.00
https://stats47.jp/areas/18000,0,1,0.0000,5.00
https://stats47.jp/areas/18000/administrativefinancial,0,1,0.0000,3.00
https://stats47.jp/areas/18000/commercial,0,2,0.0000,10.00
https://stats47.jp/areas/18000/construction,0,3,0.0000,8.67
https://stats47.jp/areas/18000/landweather,0,2,0.0000,6.50
https://stats47.jp/areas/18000/miningindustry,0,6,0.0000,3.33
https://stats47.jp/areas/18000/socialsecurity,0,2,0.0000,10.50
https://stats47.jp/areas/20000,0,3,0.0000,7.67
https://stats47.jp/areas/20000/cities/20202,0,1,0.0000,12.00
https://stats47.jp/areas/20000/cities/20203,0,2,0.0000,9.00
https://stats47.jp/areas/20000/cities/20212,0,6,0.0000,22.33
https://stats47.jp/areas/21000,0,2,0.0000,4.50
https://stats47.jp/areas/21000/cities/21404,0,3,0.0000,8.33
https://stats47.jp/areas/21000/cities/21421,0,1,0.0000,2.00
https://stats47.jp/areas/21000/population,0,2,0.0000,16.50
https://stats47.jp/areas/22000/cities/22130,0,2,0.0000,10.00
https://stats47.jp/areas/22000/cities/22223,0,1,0.0000,6.00
https://stats47.jp/areas/23000,0,1,0.0000,1.00
https://stats47.jp/areas/23000/cities/23204,0,1,0.0000,19.00
https://stats47.jp/areas/23000/cities/23209,0,20,0.0000,7.15
https://stats47.jp/areas/23000/cities/23220,0,1,0.0000,39.00
https://stats47.jp/areas/23000/economy,0,2,0.0000,8.00
https://stats47.jp/areas/24000/cities/24208,0,3,0.0000,8.00
https://stats47.jp/areas/24000/cities/24324,0,1,0.0000,1.00
https://stats47.jp/areas/25000/cities/25214,0,1,0.0000,38.00
https://stats47.jp/areas/25000/economy,0,15,0.0000,8.87
https://stats47.jp/areas/25000/population,0,5,0.0000,27.60
https://stats47.jp/areas/26000/cities/26366,0,1,0.0000,9.00
https://stats47.jp/areas/27000,0,3,0.0000,5.00
https://stats47.jp/areas/27000/miningindustry,0,4,0.0000,1.75
https://stats47.jp/areas/27000/safetyenvironment,0,1,0.0000,8.00
https://stats47.jp/areas/28000,0,5,0.0000,5.00
https://stats47.jp/areas/28000/administrativefinancial,0,6,0.0000,6.33
https://stats47.jp/areas/28000/construction,0,4,0.0000,3.50
https://stats47.jp/areas/28000/laborwage,0,1,0.0000,9.00
https://stats47.jp/areas/28000/population,0,1,0.0000,11.00
https://stats47.jp/areas/28000/safetyenvironment,0,2,0.0000,8.00
https://stats47.jp/areas/28000/socialsecurity,0,1,0.0000,9.00
https://stats47.jp/areas/29000/agriculture,0,4,0.0000,9.75
https://stats47.jp/areas/29000/cities/29363,0,1,0.0000,28.00
https://stats47.jp/areas/29000/economy,0,2,0.0000,4.00
https://stats47.jp/areas/29000/educationsports,0,1,0.0000,7.00
https://stats47.jp/areas/29000/miningindustry,0,5,0.0000,4.60
https://stats47.jp/areas/30000,0,4,0.0000,47.75
https://stats47.jp/areas/31000,0,4,0.0000,5.50
https://stats47.jp/areas/31000/cities/31401,0,2,0.0000,40.00
https://stats47.jp/areas/31000/economy,0,2,0.0000,9.50
https://stats47.jp/areas/33000,0,1,0.0000,1.00
https://stats47.jp/areas/33000/cities/33211,0,1,0.0000,10.00
https://stats47.jp/areas/33000/cities/33212,0,1,0.0000,12.00
https://stats47.jp/areas/33000/cities/33213,0,1,0.0000,11.00
https://stats47.jp/areas/33000/cities/33666,0,1,0.0000,2.00
https://stats47.jp/areas/33000/landweather,0,6,0.0000,25.33
https://stats47.jp/areas/33000/population,0,23,0.0000,36.26
https://stats47.jp/areas/33000/socialsecurity,0,6,0.0000,8.00
https://stats47.jp/areas/34000,0,3,0.0000,5.00
https://stats47.jp/areas/34000/economy,0,7,0.0000,9.00
https://stats47.jp/areas/35000/population,0,1,0.0000,11.00
https://stats47.jp/areas/36000/economy,0,1,0.0000,1.00
https://stats47.jp/areas/37000,0,2,0.0000,10.00
https://stats47.jp/areas/37000/administrativefinancial,0,4,0.0000,6.25
https://stats47.jp/areas/37000/cities/37386,0,2,0.0000,9.00
https://stats47.jp/areas/38000,0,1,0.0000,18.00
https://stats47.jp/areas/38000/cities/38206,0,1,0.0000,11.00
https://stats47.jp/areas/38000/economy,0,1,0.0000,8.00
https://stats47.jp/areas/39000/population,0,3,0.0000,65.00
https://stats47.jp/areas/40000,0,1,0.0000,6.00
https://stats47.jp/areas/41000/economy,0,1,0.0000,9.00
https://stats47.jp/areas/42000/cities/42210,0,6,0.0000,10.33
https://stats47.jp/areas/42000/cities/42307,0,7,0.0000,9.86
https://stats47.jp/areas/45000/cities/45204,0,2,0.0000,9.50
https://stats47.jp/areas/45000/cities/45207,0,10,0.0000,7.40
https://stats47.jp/areas/45000/cities/45382,0,1,0.0000,5.00
https://stats47.jp/areas/45000/cities/45404,0,1,0.0000,5.00
https://stats47.jp/areas/45000/economy,0,3,0.0000,9.00
https://stats47.jp/areas/46000/cities/46217,0,1,0.0000,15.00
https://stats47.jp/areas/46000/cities/46222,0,2,0.0000,51.00
https://stats47.jp/areas/46000/cities/46225,0,2,0.0000,54.50
https://stats47.jp/areas/47000/construction,0,9,0.0000,9.56
https://stats47.jp/areas/47000/population,0,9,0.0000,42.00
https://stats47.jp/blog,0,25,0.0000,3.44
https://stats47.jp/blog/aging-rate-akita-vs-okinawa,0,45,0.0000,11.93
https://stats47.jp/blog/agriculture-hokkaido-dominance,0,11,0.0000,7.00
https://stats47.jp/blog/barber-beauty-salon-regional-gap,0,67,0.0000,9.87
https://stats47.jp/blog/birth-death-gap-decline,0,77,0.0000,14.23
https://stats47.jp/blog/commercial-land-price-trend,0,21,0.0000,6.19
https://stats47.jp/blog/cpi-change-regional-pattern,0,87,0.0000,6.70
https://stats47.jp/blog/dual-income-childcare-dilemma,0,1,0.0000,10.00
https://stats47.jp/blog/dual-income-reversal,0,5,0.0000,6.00
https://stats47.jp/blog/electricity-demand-gap,0,39,0.0000,7.21
https://stats47.jp/blog/energy-consumption-structure-shift,0,7,0.0000,6.43
https://stats47.jp/blog/fertility-fiscal-nexus,0,34,0.0000,12.09
https://stats47.jp/blog/fiscal-health-50years-trend,0,15,0.0000,6.67
https://stats47.jp/blog/fishery-species-prefecture-specialty,0,92,0.0000,8.38
https://stats47.jp/blog/food-spending-pattern,0,50,0.0000,11.64
https://stats47.jp/blog/foreign-population-growth-rate,0,9,0.0000,8.11
https://stats47.jp/blog/foreign-residents-diversity-map,0,157,0.0000,9.59
https://stats47.jp/blog/hospital-bed-utilization-map,0,15,0.0000,5.73
https://stats47.jp/blog/household-income-tokyo-okinawa,0,25,0.0000,10.76
https://stats47.jp/blog/household-spending-before-after-inflation,0,18,0.0000,6.44
https://stats47.jp/blog/housing-cost-livability-trend,0,23,0.0000,8.35
https://stats47.jp/blog/ict-communication-cost-burden-ranking,0,7,0.0000,8.57
https://stats47.jp/blog/ict-digital-divide-composite-analysis,0,3,0.0000,5.00
https://stats47.jp/blog/international-cooperation-volunteer-map,0,1,0.0000,9.00
https://stats47.jp/blog/livable-prefecture-composite-ranking,0,32,0.0000,19.25
https://stats47.jp/blog/manufacturing-aichi-dominance,0,342,0.0000,7.73
https://stats47.jp/blog/manufacturing-shipment-prefecture-ranking,0,23,0.0000,7.52
https://stats47.jp/blog/marriage-divorce-okinawa,0,71,0.0000,9.86
https://stats47.jp/blog/minimum-wage-1000yen-breakthrough,0,91,0.0000,12.51
https://stats47.jp/blog/minimum-wage-gap-regional-economy,0,4,0.0000,9.75
https://stats47.jp/blog/occupation-income-gap-pilot-vs-careworker,0,28,0.0000,7.86
https://stats47.jp/blog/per-capita-income-gap,0,64,0.0000,14.98
https://stats47.jp/blog/population-migration-tokyo-concentration,0,19,0.0000,10.74
https://stats47.jp/blog/post-office-last-window,0,14,0.0000,7.64
