code,indicator,unit,category,series,opp,prefAvail,cityAvail,prefUsed,cityUsed,vintage,prefId,cityId
#F01102,#F01102_就業者比率,％,労働,indicator,ADD city (pref exists),1,1,1,0,0,0000010206,0000020306
#F01201,#F01201_第1次産業就業者比率,％,労働,indicator,ADD city (pref exists),1,1,1,0,0,0000010206,0000020306
#F01202,#F01202_第2次産業就業者比率,％,労働,indicator,ADD city (pref exists),1,1,1,0,0,0000010206,0000020306
#F01203,#F01203_第3次産業就業者比率,％,労働,indicator,ADD city (pref exists),1,1,1,0,0,0000010206,0000020306
#F01204,#F01204_第2次産業及び第3次産業就業者比率（対就業者）,％,労働,indicator,ADD city (pref exists),1,1,1,0,0,0000010206,0000020306
#F01301,#F01301_完全失業率,％,労働,indicator,ADD city (pref exists),1,1,1,0,0,0000010206,0000020306
#F02701,#F02701_他市区町村への通勤者比率,％,労働,indicator,ADD city (pref exists),1,1,1,0,0,0000010206,0000020306
#F02702,#F02702_他市区町村からの通勤者比率,％,労働,indicator,ADD city (pref exists),1,1,1,0,0,0000010206,0000020306
#F0350303,#F0350303_高齢就業者割合（65歳以上）,％,労働,indicator,ADD city (pref exists),1,1,1,0,0,0000010206,0000020306
#G01101,#G01101_公民館数（人口100万人当たり）,館,文化・スポーツ,indicator,ADD city (pref exists),1,1,1,0,0,0000010207,0000020307
#G01104,#G01104_図書館数（人口100万人当たり）,館,文化・スポーツ,indicator,ADD city (pref exists),1,1,1,0,0,0000010207,0000020307
#H01301,#H01301_持ち家比率,％,居住,indicator,ADD city (pref exists),1,1,1,0,0,0000010208,0000020308
#H01405,#H01405_空き家比率,％,居住,indicator,ADD city (pref exists),1,1,1,0,0,0000010208,0000020308
#H06127,#H06127_小売店数（人口千人当たり）,店,居住,indicator,ADD city (pref exists),1,1,1,0,0,0000010208,0000020308
#H06130,#H06130_飲食店数（人口千人当たり）,店,居住,indicator,ADD city (pref exists),1,1,1,0,0,0000010208,0000020308
#H06131,#H06131_大型小売店数（人口10万人当たり）,店,居住,indicator,ADD city (pref exists),1,1,1,0,0,0000010208,0000020308
#H06132,#H06132_百貨店、総合スーパー数（人口10万人当たり）,店,居住,indicator,ADD city (pref exists),1,1,1,0,0,0000010208,0000020308
H1800,着工新設住宅戸数,戸・件,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
H1801,着工新設持家数,戸・件,居住,basic,ADD city (pref exists),1,1,1,0,0,0000010108,0000020208
